EXERCÍCIO,CÓDIGO ÓRGÃO SUPERIOR,NOME ÓRGÃO SUPERIOR,CÓDIGO ÓRGÃO SUBORDINADO,NOME ÓRGÃO SUBORDINADO,CÓDIGO UNIDADE ORÇAMENTÁRIA,NOME UNIDADE ORÇAMENTÁRIA,CÓDIGO FUNÇÃO,NOME FUNÇÃO,CÓDIGO SUBFUNÇÃO,NOME SUBFUNÇÃO,CÓDIGO PROGRAMA ORÇAMENTÁRIO,NOME PROGRAMA ORÇAMENTÁRIO,CÓDIGO AÇÃO,NOME AÇÃO,CÓDIGO CATEGORIA ECONÔMICA,NOME CATEGORIA ECONÔMICA,CÓDIGO GRUPO DE DESPESA,NOME GRUPO DE DESPESA,CÓDIGO ELEMENTO DE DESPESA,NOME ELEMENTO DE DESPESA,ORÇAMENTO INICIAL (R$),ORÇAMENTO ATUALIZADO (R$),ORÇAMENTO EMPENHADO (R$),ORÇAMENTO REALIZADO (R$),% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)
2026,26000,Ministério da Educação,26250,Universidade Federal de Roraima,26250,UNIVERSIDADE FEDERAL DE RORAIMA,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,73698.36,73698.36,35530.02,8315.01,11.28
2026,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,26278,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,454016754.28,454016754.28,361445714.67,28869570.73,6.36
2026,26000,Ministério da Educação,26276,Fundação Universidade Federal do Mato Grosso,26276,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,2000.0,2000.0,2000.0,1231.82,61.59
2026,26000,Ministério da Educação,26292,Fundação Joaquim Nabuco,26292,FUNDACAO JOAQUIM NABUCO,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,42979515.64,42979515.64,42979515.64,3155079.9,7.34
2026,26000,Ministério da Educação,26261,Universidade Federal de Itajubá,26261,UNIVERSIDADE FEDERAL DE ITAJUBA - MG,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,5000.0,5000.0,5000.0,3692.44,73.85
2026,26000,Ministério da Educação,26457,Universidade Federal do Norte do Tocantins,26457,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,100000000.0,100000000.0,100000000.0,6309922.61,6.31
2026,26000,Ministério da Educação,26450,Universidade Federal do Sul da Bahia,26450,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,4106.09,4106.09,4106.09,4106.09,100.0
2026,26000,Ministério da Educação,26251,Fundação Universidade Federal do Tocantins,26251,FUNDACAO UNIVERSIDADE FEDERAL DE TOCANTINS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,269045298.15,269045298.15,269045298.15,15593886.51,5.8
2026,26000,Ministério da Educação,26281,Fundação Universidade Federal de Sergipe,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,10675.72,10675.72,10675.72,0.0,0.0
2026,26000,Ministério da Educação,26440,Universidade Federal da Fronteira Sul,26440,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,84874200.0,84874200.0,84874200.0,17837527.06,21.02
